run,rsi_long_threshold,rsi_short_threshold,pullback_max_pct,stop_loss_pct,take_profit_max_pct,trailing_stop_pct,typical_position_fraction,cagr,sharpe,max_dd,daily_vol,trades,final_equity,start,end
33,50.0,55.0,0.05,0.08,0.12,0.05,0.15,0.0015355451236540585,0.11147049509877931,-0.029746900202210047,0.0009285685679118745,16,10169.965107531596,2014-01-02,2024-12-31
41,50.0,55.0,0.05,0.1,0.12,0.05,0.15,0.0015355451236540585,0.11147049509877931,-0.029746900202210047,0.0009285685679118745,16,10169.965107531596,2014-01-02,2024-12-31
36,50.0,55.0,0.05,0.08,0.15,0.05,0.1,0.001467024753103896,0.1448653192816884,-0.019898910287817206,0.000661452106193616,16,10162.325166220113,2014-01-02,2024-12-31
44,50.0,55.0,0.05,0.1,0.15,0.05,0.1,0.001467024753103896,0.1448653192816884,-0.019898910287817206,0.000661452106193616,16,10162.325166220113,2014-01-02,2024-12-31
66,55.0,50.0,0.05,0.08,0.12,0.07,0.1,0.0014346280255888022,0.06280286980408138,-0.08645042036707395,0.0018896278339582695,135,10158.714785608017,2014-01-02,2024-12-31
74,55.0,50.0,0.05,0.1,0.12,0.07,0.1,0.0014346280255888022,0.06280286980408138,-0.08645042036707395,0.0018896278339582695,135,10158.714785608017,2014-01-02,2024-12-31
38,50.0,55.0,0.05,0.08,0.15,0.07,0.1,0.001239283663766022,0.10704523652673532,-0.02664764724792612,0.0007732515866705941,15,10136.969769943187,2014-01-02,2024-12-31
46,50.0,55.0,0.05,0.1,0.15,0.07,0.1,0.001239283663766022,0.10704523652673532,-0.02664764724792612,0.0007732515866705941,15,10136.969769943187,2014-01-02,2024-12-31
48,50.0,55.0,0.08,0.08,0.12,0.05,0.1,0.0011461922583466677,0.11112362138267769,-0.02554693575300271,0.0006826974804772461,20,10126.622069754132,2014-01-02,2024-12-31
56,50.0,55.0,0.08,0.1,0.12,0.05,0.1,0.0011461922583466677,0.11112362138267769,-0.02554693575300271,0.0006826974804772461,20,10126.622069754132,2014-01-02,2024-12-31
51,50.0,55.0,0.08,0.08,0.12,0.07,0.15,0.001130850788666482,0.06838433263637579,-0.05534869071348203,0.001212167835941731,19,10124.91768990449,2014-01-02,2024-12-31
59,50.0,55.0,0.08,0.1,0.12,0.07,0.15,0.001130850788666482,0.06838433263637579,-0.05534869071348203,0.001212167835941731,19,10124.91768990449,2014-01-02,2024-12-31
32,50.0,55.0,0.05,0.08,0.12,0.05,0.1,0.0010531297977480758,0.11198174753139852,-0.019898910287817206,0.0006193189988608265,16,10116.287184548986,2014-01-02,2024-12-31
40,50.0,55.0,0.05,0.1,0.12,0.05,0.1,0.0010531297977480758,0.11198174753139852,-0.019898910287817206,0.0006193189988608265,16,10116.287184548986,2014-01-02,2024-12-31
50,50.0,55.0,0.08,0.08,0.12,0.07,0.1,0.0007974422093759426,0.0685726840846716,-0.03708732040037821,0.0008079758105372067,19,10087.94159263458,2014-01-02,2024-12-31
58,50.0,55.0,0.08,0.1,0.12,0.07,0.1,0.0007974422093759426,0.0685726840846716,-0.03708732040037821,0.0008079758105372067,19,10087.94159263458,2014-01-02,2024-12-31
55,50.0,55.0,0.08,0.08,0.15,0.07,0.15,0.0007811504090426968,0.04830140406948106,-0.057717648724499915,0.0012942692988191242,19,10086.137928358405,2014-01-02,2024-12-31
63,50.0,55.0,0.08,0.1,0.15,0.07,0.15,0.0007811504090426968,0.04830140406948106,-0.057717648724499915,0.0012942692988191242,19,10086.137928358405,2014-01-02,2024-12-31
86,55.0,50.0,0.08,0.08,0.15,0.07,0.1,0.0006227088187624741,0.03548427252213912,-0.11233793886069976,0.0020077745135955046,140,10068.612150060066,2014-01-02,2024-12-31
94,55.0,50.0,0.08,0.1,0.15,0.07,0.1,0.0006227088187624741,0.03548427252213912,-0.11233793886069976,0.0020077745135955046,140,10068.612150060066,2014-01-02,2024-12-31
54,50.0,55.0,0.08,0.08,0.15,0.07,0.1,0.0005663809025580058,0.04819235770045267,-0.03876362967221458,0.0008629449976372372,19,10062.388195026706,2014-01-02,2024-12-31
62,50.0,55.0,0.08,0.1,0.15,0.07,0.1,0.0005663809025580058,0.04819235770045267,-0.03876362967221458,0.0008629449976372372,19,10062.388195026706,2014-01-02,2024-12-31
87,55.0,50.0,0.08,0.08,0.15,0.07,0.15,0.0004986353993707837,0.034368934088560184,-0.16440621951142342,0.003010576908820568,140,10054.90728565587,2014-01-02,2024-12-31
95,55.0,50.0,0.08,0.1,0.15,0.07,0.15,0.0004986353993707837,0.034368934088560184,-0.16440621951142342,0.003010576908820568,140,10054.90728565587,2014-01-02,2024-12-31
82,55.0,50.0,0.08,0.08,0.12,0.07,0.1,-0.004039928596283993,-0.11469601193494902,-0.11324510729409631,0.001957774651929615,140,9565.091089354471,2014-01-02,2024-12-31
90,55.0,50.0,0.08,0.1,0.12,0.07,0.1,-0.004039928596283993,-0.11469601193494902,-0.11324510729409631,0.001957774651929615,140,9565.091089354471,2014-01-02,2024-12-31
83,55.0,50.0,0.08,0.08,0.12,0.07,0.15,-0.006432316451037812,-0.11509430066448123,-0.16780769934066608,0.0029362327762774447,140,9315.72190920063,2014-01-02,2024-12-31
91,55.0,50.0,0.08,0.1,0.12,0.07,0.15,-0.006432316451037812,-0.11509430066448123,-0.16780769934066608,0.0029362327762774447,140,9315.72190920063,2014-01-02,2024-12-31
0,50.0,50.0,0.05,0.08,0.12,0.05,0.1,-0.007109929402860482,-0.39701618757686036,-0.09261712418834078,0.0011076092254544646,62,9246.173338047762,2014-01-02,2024-12-31
8,50.0,50.0,0.05,0.1,0.12,0.05,0.1,-0.007109929402860482,-0.39701618757686036,-0.09261712418834078,0.0011076092254544646,62,9246.173338047762,2014-01-02,2024-12-31
